GeneSymbol	Geneid	Hippo_reads	Cortex_reads	Control_reads	l2FC	padj
RORB	ENSG00000198963	17049	30375	9332	-1.39	2.42006E-09
RXFP1	ENSG00000171509	2864	6967	814	-1.91	2.13876E-08
SATB2	ENSG00000119042	16381	28166	7048	-1.34	3.56685E-08
SELL	ENSG00000188404	2850	877	122	1.42	3.84666E-06
SELPLG	ENSG00000110876	15687	6483	1277	0.87	1.45316E-06
SERPINA3	ENSG00000196136	380	19	18	3.66	5.61382E-10
SERPINE1	ENSG00000106366	4127	526	256	2.02	2.85587E-09
SGK1	ENSG00000118515	74791	20169	4024	1.48	1.12558E-06
SLC14A1	ENSG00000141469	21883	3408	2120	2.11	0
SMPX	ENSG00000091482	66	212	55	-2.7	1.08968E-06
SRGN	ENSG00000122862	11734	4442	1443	0.88	5.4165E-07
SRPX	ENSG00000101955	5046	980	264	1.83	0
TBR1	ENSG00000136535	7105	13369	3139	-1.49	0
TESPA1	ENSG00000135426	2781	11927	5064	-3.4	1.76684E-09
TIAM2	ENSG00000146426	4543	7364	2926	-1.24	1.43507E-06
TJP2	ENSG00000119139	95169	25195	4571	1.42	3.14442E-07
TLR3	ENSG00000164342	2922	1139	371	0.87	4.51329E-07
TMEM119	ENSG00000183160	8400	3253	765	0.94	4.41334E-07
TMEM132D	ENSG00000151952	7425	13200	2797	-1.35	0
TMEM155	ENSG00000164112	4970	8974	1646	-1.71	1.66367E-06
TMEM196	ENSG00000173452	1428	3675	818	-1.92	0
TNC	ENSG00000041982	54577	6751	1007	2.47	0
TNNT2	ENSG00000118194	600	885	552	-2.36	3.4803E-05
TPBG	ENSG00000146242	558	1750	598	-2.1	0
TRHDE	ENSG00000072657	7531	13388	3161	-1.51	2.98168E-08
TYRP1	ENSG00000107165	167	657	82	-2.85	0
ZBTB20	ENSG00000181722	33174	12961	2839	0.86	5.76652E-07
ZFP36	ENSG00000128016	12793	2354	479	2.05	1.98384E-09
ZNF697	ENSG00000143067	2923	5335	1406	-1.49	5.61488E-09
